name	g1chr	g1start	g1end	g1name	g2chr	g2start	g2end	g2name
291	1	38685	38973	 	1	15611	15330	 
291	1	15330	15611	 	1	38973	38685	 
293	1	179215	179505	 	1	141948	141663	 
293	1	141663	141948	 	1	179505	179215	 
291	1	181382	181668	 	1	32576	32295	 
260	1	32330	32585	 	1	181631	181373	 
286	1	105979	106262	 	1	15612	15330	 
290	1	15330	15615	 	1	106262	105976	 
336	1	206188	206518	 	1	179504	179182	 
336	1	179182	179504	 	1	206518	206188	 
307	1	57153	57454	 	1	30272	29972	 
307	1	29972	30272	 	1	57454	57153	 
292	1	206198	206489	 	1	174257	173983	 
292	1	173983	174257	 	1	206489	206198	 
310	1	222050	222349	 	1	206497	206193	 
310	1	206193	206497	 	1	222349	222050	 
290	1	222063	222349	 	1	141948	141669	 
290	1	141669	141948	 	1	222349	222063	 
309	1	128020	128322	 	1	29401	29098	 
309	1	29098	29401	 	1	128322	128020	 
320	1	179533	179847	 	1	141948	141646	 
320	1	141646	141948	 	1	179847	179533	 
333	1	250866	251178	 	1	179844	179514	 
333	1	179514	179844	 	1	251178	250866	 
288	1	265237	265524	 	1	141948	141669	 
290	1	141669	141948	 	1	265524	265237	 
145	1	208177	208321	 	1	12365	12223	 
282	1	178577	178858	 	1	32571	32296	 
294	1	32296	32583	 	1	178858	178565	 
145	1	12223	12365	 	1	208321	208177	 
268	1	251351	251618	 	1	174235	173980	 
265	1	173983	174235	 	1	251615	251351	 
200	1	217786	217985	 	1	15525	15330	 
200	1	15330	15525	 	1	217985	217786	 
306	1	178565	178865	 	1	29399	29097	 
288	1	141669	141948	 	1	54937	54655	 
287	1	54658	54940	 	1	141945	141666	 
306	1	29097	29399	 	1	178865	178565	 
238	1	179185	179417	 	1	57480	57246	 
238	1	57246	57480	 	1	179417	179185	 
155	1	250858	251010	 	1	208328	208177	 
155	1	208177	208328	 	1	251010	250858	 
122	1	208177	208298	 	1	32420	32300	 
122	1	32300	32420	 	1	208298	208177	 
288	1	250902	251179	 	1	227190	226910	 
304	1	226910	227206	 	1	251179	250888	 
139	1	250911	251047	 	1	144088	143952	 
177	1	143952	144125	 	1	251047	250876	 
199	1	93260	93453	 	1	75273	75080	 
199	1	75080	75273	 	1	93453	93260	 
99	1	250871	250969	 	1	93541	93446	 
106	1	93446	93548	 	1	250969	250866	 
149	1	227070	227215	 	1	57125	56980	 
130	1	57004	57131	 	1	227191	227064	 
175	1	179631	179801	 	1	57172	57007	 
175	1	57007	57172	 	1	179801	179631	 
106	1	227071	227176	 	1	63565	63460	 
106	1	63460	63565	 	1	227176	227071	 
153	1	143976	144125	 	1	57125	56975	 
180	1	56975	57149	 	1	144125	143952	 
148	1	63418	63564	 	1	54937	54795	 
148	1	54795	54937	 	1	63564	63418	 
59	1	93397	93453	 	1	63591	63537	 
59	1	63537	63591	 	1	93453	93397	 
47	1	264202	264248	 	1	38361	38315	 
29	1	38333	38361	 	1	264230	264202	 
